firm_ident,return,beta,year
1,-0.004812733894181687,1.5010501405523617,1996
2,,0.7715530159336539,1996
3,-0.004812733894181687,1.1164190293338494,1996
4,-0.004812733894181687,1.1287488096596532,1996
5,-0.001598854837852607,1.2449285414567122,1996
6,-0.004812733894181687,1.611615159943478,1996
7,0.009018339759149278,1.1567610217994901,1996
8,-0.004812733894181687,1.611615159943478,1996
9,-0.004812733894181687,1.16556744597813,1996
10,-0.004812733894181687,1.221273656572704,1996
11,0.0156467818914726,1.025072642477133,1996
12,0.022556125815107967,0.6801992912587396,1996
13,,1.3797321509575102,1996
14,-0.009805352612753351,1.0164661287022916,1996
15,0.004043941588518731,1.3167187367911253,1996
16,-0.2048127338941817,0.9979964792121888,1996
17,-0.004812733894181687,,1996
18,-0.014953417807936653,1.2582917994140184,1996
19,-0.03548864354671717,0.9045743146848091,1996
20,-0.0037491589493506335,,1996
21,-0.004812733894181687,1.2614596581200468,1996
22,,,1996
23,-0.004812733894181687,1.2073848589413954,1996
24,-0.005044079912426675,1.4067898765492122,1996
25,-0.037025663642053265,0.839096619790703,1996
26,-0.004812733894181687,1.197907366512209,1996
27,-0.004812733894181687,0.9290595234650245,1996
28,,0.6801992912587396,1996
29,-0.004812733894181687,1.5829830251122663,1996
30,0.035511761257201846,0.8512587864312897,1996
31,,,1996
32,-0.004812733894181687,0.8885087892753539,1996
33,-0.010447110313433036,1.238362373352242,1996
34,-0.004812733894181687,1.338377666430883,1996
35,-0.004812733894181687,1.012282597297617,1996
36,-0.019271630604148535,0.9776684349031596,1996
37,-0.004812733894181687,,1996
38,-0.004812733894181687,1.1164190293338494,1996
39,0.0036561985256714953,0.8885087892753539,1996
40,-0.004812733894181687,1.2449285414567122,1996
41,-0.004812733894181687,1.024446325775347,1996
42,0.005605116030491247,0.8842574639996288,1996
43,0.01596330278185558,0.8898907932028579,1996
44,0.009172869392341751,1.1341091329902098,1996
45,-0.004812733894181687,1.142163156678848,1996
46,-0.004812733894181687,1.0625112719932652,1996
47,-0.004812733894181687,1.025072642477133,1996
48,0.020335731355332527,1.4067898765492122,1996
49,0.009905295018086168,1.1944548965703012,1996
50,-0.004812733894181687,1.288717282187259,1996
51,-0.004812733894181687,1.3167187367911253,1996
52,,,1996
53,,0.9461368895516683,1996
54,-0.005577060306367284,0.828590273056159,1996
55,-0.004812733894181687,0.9406523031713667,1996
56,-0.004812733894181687,,1996
57,0.11487959799920215,1.1144629928464145,1996
58,-0.004812733894181687,0.9974197843003738,1996
59,-0.004812733894181687,1.5829830251122663,1996
60,-0.004812733894181687,1.0717416058684974,1996
61,,0.8512587864312897,1996
62,,1.2133792356774922,1996
63,-0.004812733894181687,1.3167187367911253,1996
64,-0.004812733894181687,0.9290595234650245,1996
65,0.02291432096915226,1.4127765860576342,1996
66,-0.025123897193878236,0.9081575587341705,1996
67,0.018407210309619667,1.3642354527412894,1996
68,-0.027238408596277987,1.2737147289513104,1996
