Date,Spot,Futures
1997-09-01,947.280029,954.5
1997-10-01,914.619995,924.0
1997-11-01,955.400024,955.0
1997-12-01,970.429993,979.25
1998-01-01,980.280029,987.75
1998-02-01,1049.339966,1050.5
1998-03-01,1101.75,1110.5
1998-04-01,1111.75,1119.25
1998-05-01,1090.819946,1090.75
1998-06-01,1133.839966,1143.0
1998-07-01,1120.670044,1146.0
1998-08-01,957.280029,958.0
1998-09-01,1017.01001,1026.0
1998-10-01,1098.670044,1105.2
1998-11-01,1163.630005,1162.5
1998-12-01,1229.22998,1245.5
1999-01-01,1279.640015,1281.5
1999-02-01,1238.329956,1235.5
1999-03-01,1286.369995,1293.25
1999-04-01,1335.180054,1347.5
1999-05-01,1301.839966,1286.0
1999-06-01,1372.709961,1381.7
1999-07-01,1328.719971,1331.8
1999-08-01,1320.410034,1319.8
1999-09-01,1282.709961,1298.2
1999-10-01,1362.930054,1376.25
1999-11-01,1388.910034,1391.5
1999-12-01,1469.25,1484.25
2000-01-01,1394.459961,1401.0
2000-02-01,1366.420044,1372.0
2000-03-01,1498.579956,1515.25
2000-04-01,1452.430054,1460.0
2000-05-01,1420.599976,1422.25
2000-06-01,1454.599976,1468.0
2000-07-01,1430.829956,1439.0
2000-08-01,1517.680054,1521.25
2000-09-01,1436.51001,1453.75
2000-10-01,1429.400024,1440.25
2000-11-01,1314.949951,1321.5
2000-12-01,1320.280029,1335.0
2001-01-01,1366.01001,1373.0
2001-02-01,1239.939941,1242.0
2001-03-01,1160.329956,1169.25
2001-04-01,1249.459961,1254.25
2001-05-01,1255.819946,1257.5
2001-06-01,1224.380005,1231.75
2001-07-01,1211.22998,1215.25
2001-08-01,1133.579956,1135.0
2001-09-01,1040.939941,1043.75
2001-10-01,1059.780029,1060.75
2001-11-01,1139.449951,1140.0
2001-12-01,1148.079956,1149.2
2002-01-01,1130.199951,1130.4
2002-02-01,1106.72998,1107.0
2002-03-01,1147.390015,1149.25
2002-04-01,1076.920044,1077.25
2002-05-01,1067.140015,1067.5
2002-06-01,989.820007,990.0
2002-07-01,911.619995,911.5
2002-08-01,916.070007,916.0
2002-09-01,815.280029,815.0
2002-10-01,885.76001,885.5
2002-11-01,936.309998,936.0
2002-12-01,879.820007,879.0
2003-01-01,855.700012,854.75
2003-02-01,841.150024,841.0
2003-03-01,848.179993,847.0
2003-04-01,916.919983,916.0
2003-05-01,963.590027,963.25
2003-06-01,974.5,973.25
2003-07-01,990.309998,989.25
2003-08-01,1008.01001,1007.75
2003-09-01,995.969971,994.0
2003-10-01,1050.709961,1049.5
2003-11-01,1058.199951,1057.75
2003-12-01,1111.920044,1110.5
2004-01-01,1131.130005,1130.0
2004-02-01,1144.939941,1144.5
2004-03-01,1126.209961,1125.0
2004-04-01,1107.300049,1106.0
2004-05-01,1120.680054,1120.25
2004-06-01,1140.839966,1140.5
2004-07-01,1101.719971,1101.0
2004-08-01,1104.23999,1104.0
2004-09-01,1114.579956,1115.0
2004-10-01,1130.199951,1130.25
2004-11-01,1173.819946,1174.0
2004-12-01,1211.920044,1213.75
2005-01-01,1181.27002,1181.75
2005-02-01,1203.599976,1204.0
2005-03-01,1180.589966,1184.0
2005-04-01,1156.849976,1158.5
2005-05-01,1191.5,1192.25
2005-06-01,1191.329956,1195.5
2005-07-01,1234.180054,1236.75
2005-08-01,1220.329956,1221.5
2005-09-01,1228.810059,1234.25
2005-10-01,1207.01001,1209.75
2005-11-01,1249.47998,1251.0
2005-12-01,1248.290039,1254.75
2006-01-01,1280.079956,1283.5
2006-02-01,1280.660034,1282.5
2006-03-01,1294.869995,1303.25
2006-04-01,1310.609985,1316.0
2006-05-01,1270.089966,1272.0
2006-06-01,1270.199951,1279.5
2006-07-01,1276.660034,1281.75
2006-08-01,1303.819946,1305.5
2006-09-01,1335.849976,1345.4
2006-10-01,1377.939941,1383.25
2006-11-01,1400.630005,1403.0
2006-12-01,1418.300049,1428.5
2007-01-01,1438.23999,1443.0
2007-02-01,1406.819946,1409.0
2007-03-01,1420.859985,1431.25
2007-04-01,1482.369995,1488.5
2007-05-01,1530.619995,1533.0
2007-06-01,1503.349976,1515.5
2007-07-01,1455.27002,1462.0
2007-08-01,1473.98999,1476.75
2007-09-01,1526.75,1538.0
2007-10-01,1549.380005,1554.9
2007-11-01,1481.140015,1483.75
2007-12-01,1468.359985,1477.25
2008-01-01,1378.550049,1379.5
2008-02-01,1330.630005,1331.25
2008-03-01,1322.699951,1324.0
2008-04-01,1385.589966,1386.0
2008-05-01,1400.380005,1400.5
2008-06-01,1280.0,1281.0
2008-07-01,1267.380005,1267.0
2008-08-01,1282.829956,1282.5
2008-09-01,1166.359985,1169.0
2008-10-01,968.75,967.25
2008-11-01,896.23999,895.25
2008-12-01,903.25,900.0
2009-01-01,825.880005,822.5
2009-02-01,735.090027,734.25
2009-03-01,797.869995,794.75
2009-04-01,872.809998,870.0
2009-05-01,919.140015,918.0
2009-06-01,919.320007,915.5
2009-07-01,987.47998,984.5
2009-08-01,1020.619995,1019.75
2009-09-01,1057.079956,1053.0
2009-10-01,1036.189941,1033.0
2009-11-01,1095.630005,1094.75
2009-12-01,1115.099976,1110.75
2010-01-01,1073.869995,1070.5
2010-02-01,1104.48999,1103.5
2010-03-01,1169.430054,1165.25
2010-04-01,1186.689941,1183.5
2010-05-01,1089.410034,1088.5
2010-06-01,1030.709961,1026.5
2010-07-01,1101.599976,1098.25
2010-08-01,1049.329956,1048.25
2010-09-01,1141.199951,1136.75
2010-10-01,1183.26001,1179.75
2010-11-01,1180.550049,1179.5
2010-12-01,1257.640015,1253.0
2011-01-01,1286.119995,1282.5
2011-02-01,1327.219971,1326.0
2011-03-01,1325.829956,1321.0
2011-04-01,1363.609985,1359.75
2011-05-01,1345.199951,1344.0
2011-06-01,1320.640015,1315.5
2011-07-01,1292.280029,1288.5
2011-08-01,1218.890015,1217.75
2011-09-01,1131.420044,1126.0
2011-10-01,1253.300049,1249.25
2011-11-01,1246.959961,1246.0
2011-12-01,1257.599976,1252.5
2012-01-01,1312.410034,1308.25
2012-02-01,1365.680054,1364.5
2012-03-01,1408.469971,1403.25
2012-04-01,1397.910034,1393.5
2012-05-01,1310.329956,1309.25
2012-06-01,1362.160034,1356.5
2012-07-01,1379.319946,1374.5
2012-08-01,1406.579956,1405.0
2012-09-01,1440.670044,1434.25
