Unnamed: 0,Equation number in chapter 14,FIRM1,FIRM2,FIRM3,FIRM4,FIRM5,FIRM6,FIRM7,FIRM8,FIRM9,FIRM10,FIRM11,FIRM12,FIRM13,FIRM14,FIRM15,FIRM16,FIRM17,FIRM18,FIRM19,FIRM20,Average over all firms (time-series std dev),Average over all firms (cross-sectional std dev),Equally weighting all firms (average of SARs) - eqn (14.19) and (14.20)
s2(Arit),(14.3) but (14.10) for all firm average,1.7470832344391583,0.7369267898848635,0.9315771026457179,2.44334278176663,1.6230195632188134,3.7138859862604403,1.6231102152279346,1.9830420834884122,1.1843808538709935,1.7269079373725742,1.2363941911710412,1.2334028356343483,1.5214289171149606,0.8774703922086556,1.4580169532741964,2.679565526372092,1.9115929309225876,0.8319824530099719,2.4493032708954643,5.322833737077196,0.05949337350556001,,
,,,,,,,,,,,,,,,,,,,,,,,,
"T-10,T-1",,,,,,,,,,,,,,,,,,,,,,,,
CAR,(14.6),2.7844419323508927,2.6325820852229564,3.8683053526852906,-8.466149309199706,1.10952602633244,1.6939377844458279,0.290631988139559,0.47700691118232247,-1.065235883877483,0.16023767298985903,-0.6347182553873378,0.6197907373341796,-0.014294183807268615,0.39658012883197724,-0.6217249886028212,2.6026360289726593,-0.19487019050056878,0.02455539622751208,4.668489636501032,15.430268000416401,1.2880998435128863,1.2880998435128863,
s2(CAR),(14.7),17.47083234439158,8.106194688733499,10.247348129102898,26.87677059943293,17.853215195406946,40.85274584886484,17.85421236750728,21.813462918372533,13.028189392580927,18.995987311098315,13.600336102881453,13.567431191977832,16.735718088264566,9.652174314295213,16.038186486016162,29.47522079009301,21.027522240148464,9.15180698310969,26.942335979850107,58.55117110784916,0.6544271085611602,0.899324259424015,
test stat,(14.8),0.6661643189862237,0.9246415529687095,1.208411927867814,-1.6330421005316005,0.26259065960044625,0.26502499149908665,0.06878172520146483,0.10213212390976288,-0.2951234751206564,0.036764925816358165,-0.1721100254559215,0.16826596001105076,-0.0034941149352688545,0.12764928051345648,-0.15524609808931528,0.4793855113719847,-0.042496323482378404,0.00811696214051461,0.8994122021208051,2.0165345910135097,1.5922779719512978,1.3582864650849136,1.1029102525141166
p-value,,0.5054597212424838,0.3553754568760735,0.22717452609634903,0.10277493770607658,0.7929201864300985,0.7910448278339324,0.9451771153909533,0.918672278386339,0.7679608180175534,0.9706797778482121,0.8633858550037858,0.8664080769864081,0.9972128022044184,0.8984521939171619,0.8766586373822782,0.6317692164956862,0.9661115259114786,0.9935252912934669,0.36864966486782125,0.044011035891833764,0.11163828908095126,0.1746791486849496,0.2703314893099399
T,,,,,,,,,,,,,,,,,,,,,,,,
AR,(14.1),0.044568020436842076,0.010284044669950183,-0.0004963557767453064,0.002089328337548128,0.004207750467365561,-0.08576111082066788,-0.014994742554211134,-0.001882809426730534,0.001668281820944444,0.00454362643031752,-0.00032650457973801576,-0.012645490690539447,-0.0014631987474227686,-0.013405558304692512,0.035471609726996964,-0.008294063246715963,0.003785645245768641,0.002513569538982371,-0.022097622625063134,0.0023541870622060548,-0.0024940696517802377,-0.0024940696517802377,
s2(AR),(14.3),1.7470832344391583,0.7369267898848635,0.9315771026457179,2.44334278176663,1.6230195632188134,3.7138859862604403,1.6231102152279346,1.9830420834884122,1.1843808538709935,1.7269079373725742,1.2363941911710412,1.2334028356343483,1.5214289171149606,0.8774703922086556,1.4580169532741964,2.679565526372092,1.9115929309225876,0.8319824530099719,2.4493032708954643,5.322833737077196,0.05949337350556001,0.05949337350556001,
